fia_species_code,scientific_name,grain_km,fold,eligible_plots,qualifying_tree_records,positive_plots,detected_cells_ge1_positive_plot,detected_cells_ge2_positive_plots,detected_cells_ge3_positive_plots,tpa_unadj_available_fraction,obvious_variance_support_failure,positive_plots_per_detected_cell_min,positive_plots_per_detected_cell_q10,positive_plots_per_detected_cell_q25,positive_plots_per_detected_cell_median,positive_plots_per_detected_cell_q75,positive_plots_per_detected_cell_q90,positive_plots_per_detected_cell_max,positive_plots_per_detected_cell_mean
108,Pinus contorta,75,A,57920,28045,2129,172,147,129,1.0,0,1,1.0,2.75,8.0,18.0,24.80000000000001,121,12.377906976744185
108,Pinus contorta,75,B,57805,30599,2103,168,140,129,1.0,0,1,1.0,3.0,8.0,17.0,27.30000000000001,129,12.517857142857142
109,Pinus coulteri,25,A,57920,11,5,5,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
109,Pinus coulteri,25,B,57805,9,3,3,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
109,Pinus coulteri,50,A,57920,11,5,5,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
109,Pinus coulteri,50,B,57805,9,3,3,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
109,Pinus coulteri,75,A,57920,11,5,4,1,0,1.0,0,1,1.0,1.0,1.0,1.25,1.7000000000000002,2,1.25
109,Pinus coulteri,75,B,57805,9,3,3,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
110,Pinus echinata,25,A,57920,10376,2143,873,494,272,1.0,0,1,1.0,1.0,2.0,3.0,5.0,14,2.45475372279496
110,Pinus echinata,25,B,57805,10644,2216,899,497,293,1.0,0,1,1.0,1.0,2.0,3.0,5.0,17,2.4649610678531704
110,Pinus echinata,50,A,57920,10376,2143,379,286,238,1.0,0,1,1.0,2.0,4.0,7.0,12.0,37,5.654353562005277
110,Pinus echinata,50,B,57805,10644,2216,390,297,243,1.0,0,1,1.0,2.0,3.5,7.0,13.0,37,5.682051282051282
110,Pinus echinata,75,A,57920,10376,2143,210,175,153,1.0,0,1,1.0,2.0,6.0,14.0,24.099999999999994,65,10.204761904761904
110,Pinus echinata,75,B,57805,10644,2216,210,175,156,1.0,0,1,1.0,2.0,7.0,15.0,24.0,71,10.552380952380952
