detection_band,fia_species_code,species,physical_plot_lineage_ID,selected_primary_measurement_ID,year,state,P2PANEL,AB_fold,projected_x_m,projected_y_m,cell_25km,cell_50km,cell_75km,species_detected,qualifying_tree_records_for_species,trace_selection_rule
MIDDLE_DETECTION,43,Chamaecyparis thyoides,20239111010478,946291610290487,2023,FL,5,A,908273.2076522175,893275.4015248865,25km_36_35,50km_18_17,75km_12_11,1,2,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,375837883489998,815141325290487,2023,NJ,4,B,1810872.739227633,2052737.7321662828,25km_72_82,50km_36_41,75km_24_27,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,304208096489998,719908918290487,2022,NJ,3,B,1801695.5791253773,2049946.1648799814,25km_72_81,50km_36_40,75km_24_27,1,33,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,65397592010538,602955420126144,2021,NJ,2,A,1827674.817372217,2065601.5330612855,25km_73_82,50km_36_41,75km_24_27,1,2,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,30165105010478,432124416489998,2017,NC,4,B,1679501.9252313182,1442740.5795719698,25km_67_57,50km_33_28,75km_22_19,1,11,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,157312834010478,932991685290487,2023,OK,2,B,112265.35960950692,1315878.5877695214,25km_4_52,50km_2_26,75km_1_17,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,304208025489998,719908847290487,2021,NJ,3,B,1766449.0286776773,2170054.9404773936,25km_70_86,50km_35_43,75km_23_28,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,40403178010497,714228680290487,2020,OR,2,B,-2052609.1387160611,2433680.014834949,25km_-83_97,50km_-42_48,75km_-28_32,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,59572108010478,1152038089290487,2023,AR,5,B,274695.85984201805,1288075.796151789,25km_10_51,50km_5_25,75km_3_17,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,22954504010497,412223265489998,2017,WA,4,B,-1905311.3313315997,2998402.040307142,25km_-77_119,50km_-39_59,75km_-26_39,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,96126444010661,1093488279290487,2023,KS,2,B,11068.047288014706,1757913.7558406563,25km_0_70,50km_0_35,75km_0_23,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,59779787010538,511304877126144,2019,NJ,1,A,1753694.1048038106,2174638.5747380434,25km_70_86,50km_35_43,75km_23_28,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,43278984010478,559477971126144,2019,AL,3,A,942986.6810808535,1251180.9145936184,25km_37_50,50km_18_25,75km_12_16,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,70307940010478,946087386290487,2023,LA,3,A,516404.0107581791,843288.0244796369,25km_20_33,50km_10_16,75km_6_11,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,43,Chamaecyparis thyoides,37259095010690,188785808020004,2017,NM,4,A,-1111441.812032009,1433455.1929085124,25km_-45_57,50km_-23_28,75km_-15_19,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,840,Quercus margarettiae,44797530010478,708740685290487,2020,SC,2,B,1322714.5112223225,1288840.5258446615,25km_52_51,50km_26_25,75km_17_17,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,840,Quercus margarettiae,90827934010478,448940335489998,2019,FL,1,B,1210724.60761966,919302.2683148831,25km_48_36,50km_24_18,75km_16_12,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
MIDDLE_DETECTION,840,Quercus margarettiae,44632410010478,708740635290487,2020,SC,2,B,1340131.9010683778,1256058.98979952,25km_53_50,50km_26_25,75km_17_16,1,4,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
