analysis_species_id,analysis_species_name,analysis_species_authors,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,atlas_resolved_species_ids,atlas_resolved_species_names,atlas_component_names,atlas_component_authors_canonical,atlas_component_wcvp_match_ids,atlas_component_wcvp_match_authors,atlas_component_wcvp_match_statuses,atlas_component_resolution_statuses,atlas_component_resolution_reasons,decision_status,review_reason
144637,Ostrya virginiana,(Mill.) K.Koch,SINGLE_SPECIES_LAYER,0,1,Ostrya_virginiana,ATLASG-0396,Ostrya virginiana,Ostrya virginiana,(Mill.) K. Koch,SPECIES,individual_taxa/atlas_pages/Ostrya_virginiana.pdf,Ostrya_virginiana,4491,Little (1971),,,redigitized,1,,144637,Ostrya virginiana,Ostrya virginiana,(Mill.)K.Koch,144637,(Mill.) K.Koch,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
166659,Psidium cattleyanum,Sabine,NOT_APPLICABLE_CONUS_NONNATIVE,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,NOT_APPLICABLE_CONUS_NONNATIVE,WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.
171430,Quercus acutissima,Carruth.,NOT_APPLICABLE_CONUS_NONNATIVE,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,NOT_APPLICABLE_CONUS_NONNATIVE,WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.
171483,Quercus agrifolia,Née,SINGLE_SPECIES_LAYER,0,1,Quercus_agrifolia,ATLASG-0487,Quercus agrifolia,Quercus agrifolia,Née,SPECIES,individual_taxa/atlas_pages/Quercus_agrifolia.pdf,Quercus_agrifolia,81,Little (1971),,,redigitized,1,,171483,Quercus agrifolia,Quercus agrifolia,Née,171483,Née,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
171499,Quercus alba,L.,SINGLE_SPECIES_LAYER,0,1,Quercus_alba,ATLASG-0488,Quercus alba,Quercus alba,L.,SPECIES,individual_taxa/atlas_pages/Quercus_alba.pdf,Quercus_alba,3747,Little (1971),,,redigitized,1,,171499,Quercus alba,Quercus alba,L.,171499,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
171655,Quercus arizonica,Sarg.,SINGLE_SPECIES_LAYER,0,1,Quercus_arizonica,ATLASG-0489,Quercus arizonica,Quercus arizonica,Sarg.,SPECIES,individual_taxa/atlas_pages/Quercus_arizonica.pdf,Quercus_arizonica,64,Little (1976),,,redigitized,1,,171655,Quercus arizonica,Quercus arizonica,Sarg.,171655,Sarg.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
171657,Quercus arkansana,Sarg.,SINGLE_SPECIES_LAYER,0,1,Quercus_arkansana,ATLASG-0490,Quercus arkansana,Quercus arkansana,Sarg.,SPECIES,individual_taxa/atlas_pages/Quercus_arkansana.pdf,Quercus_arkansana,20,Little (1977),,,redigitized,1,,171657,Quercus arkansana,Quercus arkansana,Sarg.,171657,Sarg.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
171779,Quercus bicolor,Willd.,SINGLE_SPECIES_LAYER,0,1,Quercus_bicolor,ATLASG-0491,Quercus bicolor,Quercus bicolor,Willd.,SPECIES,individual_taxa/atlas_pages/Quercus_bicolor.pdf,Quercus_bicolor,1306,Little (1971),,,redigitized,1,,171779,Quercus bicolor,Quercus bicolor,Willd.,171779,Willd.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
171890,Quercus buckleyi,Nixon & Dorr,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
172147,Quercus chrysolepis,Liebm.,SINGLE_SPECIES_LAYER,0,1,Quercus_chrysolepis,ATLASG-0493,Quercus chrysolepis,Quercus chrysolepis,Liebm.,SPECIES,individual_taxa/atlas_pages/Quercus_chrysolepis.pdf,Quercus_chrysolepis,170,Little (1971),,,redigitized,1,,172147,Quercus chrysolepis,Quercus chrysolepis,Liebm.,172147,Liebm.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
