analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,analysis_species_hybrid_flag,ordinary_core_class,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name,source_code_map_version
166659,Psidium cattleyanum,Sabine,Myrtaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,600760-1,600760-1,Y,1,8355,Psidium cattleianum,AUTHORITATIVE_ORTHOGRAPHIC_TO_ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,166659,Psidium cattleyanum,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
171430,Quercus acutissima,Carruth.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295743-1,295743-1,Y,1,8427,Quercus acutissima,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171430,Quercus acutissima,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
171483,Quercus agrifolia,Née,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295759-1,295759-1,Y,1,801,Quercus agrifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171483,Quercus agrifolia,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
171499,Quercus alba,L.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295763-1,295763-1,Y,1,802,Quercus alba,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171499,Quercus alba,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
171655,Quercus arizonica,Sarg.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215552-2,215552-2,Y,1,803,Quercus arizonica,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,171655,Quercus arizonica,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
171657,Quercus arkansana,Sarg.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,215554-2,215554-2,Y,1,6768,Quercus arkansana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171657,Quercus arkansana,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
171779,Quercus bicolor,Willd.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295855-1,295855-1,Y,1,804,Quercus bicolor,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171779,Quercus bicolor,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
171890,Quercus buckleyi,Nixon & Dorr,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,284107-2,284107-2,Y,1,8513,Quercus buckleyi,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171890,Quercus buckleyi,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172147,Quercus chrysolepis,Liebm.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295951-1,295951-1,Y,1,805,Quercus chrysolepis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172147,Quercus chrysolepis,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
172244,Quercus coccinea,Münchh.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,359510-1,359510-1,Y,1,806,Quercus coccinea,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172244,Quercus coccinea,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
