group_type,group_value,weighting,estimand,target_count,zero_opportunity_target_count,zplus_target_count,raw_selected_y_zero_opportunities,raw_z0_events,raw_zplus_events,weighted_selected_y_zero_opportunities,weighted_z0_mass,weighted_zplus_mass,hidden_positive_frequency
H2_FOLD_TI_BAND,A|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2090,2090,1077,10318783,9880527,438256,2083.3912996019462,2040.536082474227,42.85521712771902,0.020569931887450505
H2_FOLD_TI_BAND,A|LT_P95,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2090,2090,1077,10318783,9880527,438256,10318783.0,9880527.0,438256.0,0.042471675196580835
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,198,198,86,167330,164250,3080,197.49328345652805,196.11340206185565,1.3798813946723856,0.006986978850732021
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,198,198,86,167330,164250,3080,167330.0,164250.0,3080.0,0.01840674117014283
H2_FOLD_TI_BAND,A|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,36,36,17,11788,11708,80,35.85370643102602,35.65979381443299,0.19391261659302897,0.005408439904701919
H2_FOLD_TI_BAND,A|GE_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,36,36,17,11788,11708,80,11788.0,11708.0,80.0,0.0067865626060400405
H2_FOLD_TI_BAND,B|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2294,2294,1231,15527926,14776106,751820,2286.9710594516077,2235.9896907216494,50.981368729958184,0.022292091768832
H2_FOLD_TI_BAND,B|LT_P95,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2294,2294,1231,15527926,14776106,751820,15527926.0,14776106.0,751820.0,0.04841728380209952
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,18,18,9,13146,13015,131,17.9417553046419,17.824742268041238,0.11701303660066546,0.006521827692655678
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,18,18,9,13146,13015,131,13146.0,13015.0,131.0,0.009965008367564279
H2_FOLD_TI_BAND,B|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4,4,2,3776,3757,19,3.9871134020618557,3.9587628865979383,0.028350515463917526,0.007110536522301228
H2_FOLD_TI_BAND,B|GE_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4,4,2,3776,3757,19,3776.0,3757.0,19.0,0.005031779661016949
