group_type,group_value,weighting,state,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
FOLD,A,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2324,2324,1180,441416,10056485,2316.7382894895,2272.383347327027,0.9808545737066198,0.0002998523154130792,0.0,0.0,0.0,0.002723682482078078,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
FOLD,A,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2324,2324,1180,441416,10056485,10497901.0,10056706.0,0.9579730271794333,0.000949485752309228,0.0,0.0,0.0,0.01598644265064241,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,B,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2316,2316,1242,751970,14792878,2308.8999281583115,2257.773195876289,0.9778566703309641,0.0003060483460434284,0.0,0.0,0.0,0.003101180286194812,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
FOLD,B,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2316,2316,1242,751970,14792878,15544848.0,14792878.0,0.9516257733752045,0.0009278448676688968,0.0,0.0,0.0,0.017951127672433623,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL1,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4397,4397,2364,1191881,24380413,4382.950819225459,4288.692625677542,0.9784943529061607,0.0003190644776666944,0.0,0.0,0.0,0.003229612575581486,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
B9_ROUTE,LEVEL1,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4397,4397,2364,1191881,24380413,25572294.0,24380634.0,0.953400348048556,0.0009536464609103037,0.0,0.0,0.0,0.017807270511652182,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL2,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,243,243,58,1505,468950,242.68739842235243,241.4639175257732,0.994958613819536,1.1827687576212992e-05,0.0,0.0,0.0,0.0,0.02927721980049086,WEIGHTED_INVERSE_EMPIRICAL_CDF
B9_ROUTE,LEVEL2,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,243,243,58,1505,468950,470455.0,468950.0,0.9968009692744259,8.262625943218374e-06,0.0,0.0,0.0,0.0,0.02927721980049086,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R1,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,288,288,101,328,93549,287.3548109965636,286.4123711340206,0.9967202920345251,2.863893342167054e-05,0.0,0.0,0.0,0.0,0.31851012950491986,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R1,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,288,288,101,328,93549,93877.0,93549.0,0.9965060664486509,3.111769225489889e-05,0.0,0.0,0.0,0.0,0.31851012950491986,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R2,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1057,1057,482,4638,710191,1054.5189044346262,1047.994845360825,0.9938132364945139,7.762122402565712e-05,0.0,0.0,0.0,0.0,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
