group_type,group_value,weighting,state,diagnostic_role,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
TARGET_N_BAND,N_2_4,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,288,102,102,213,0,0.6451890034364262,0.005154639175257732,0.007989347536617843,0.011283568144949506,0.0032493429895243857,0.029004533282307877,0.055452256211125275,0.10012755003545115,0.3329962472317378,WEIGHTED_INVERSE_EMPIRICAL_CDF
TARGET_N_BAND,N_2_4,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,288,102,102,213,0,213.0,2.0,0.009389671361502348,0.011929212171554167,0.0033335355295854327,0.02959917615756606,0.05611018188956324,0.0980847135985019,0.3329962472317378,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_5_9,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1057,486,486,1710,0,2.481095565373916,0.011123384061528392,0.00448325498492116,0.02080578076267364,0.005591251036606107,0.043174214496905755,0.08179616506144882,0.3034392815295427,0.4983341683693562,WEIGHTED_INVERSE_EMPIRICAL_CDF
TARGET_N_BAND,N_5_9,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1057,486,486,1710,0,1710.0,7.0,0.004093567251461989,0.021515205911813468,0.005606956220900715,0.045681355714589165,0.08638805627336191,0.3059290772862182,0.4983341683693562,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_10_24,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1422,732,732,5581,0,3.7035280664367463,0.00622852233676976,0.0016817807844405975,0.02369234032161722,0.0075829272478076665,0.05234263153541629,0.10243533683708532,0.3021904678323083,0.6031798848975848,WEIGHTED_INVERSE_EMPIRICAL_CDF
TARGET_N_BAND,N_10_24,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1422,732,732,5581,0,5581.0,8.0,0.0014334348683031715,0.02365056775355883,0.007883789967123429,0.051471807454958315,0.10080961431838435,0.29462963638306977,0.6031798848975848,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_25_99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1286,719,719,23294,0,4.4781898223168755,0.0003910136697893101,8.73151173361856e-05,0.049477158293577767,0.019444328681841316,0.12112436239475805,0.20559382121967285,0.46562862529586607,0.8393172700079585,WEIGHTED_INVERSE_EMPIRICAL_CDF
TARGET_N_BAND,N_25_99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1286,719,719,23294,0,23294.0,3.0,0.00012878852923499615,0.05406848720039617,0.02181333846352839,0.13146724805399562,0.2211920494893869,0.491124050346861,0.8393172700079585,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_GE_100,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,587,388,388,64752,0,3.053779894624715,0.00033774404419077697,0.00011059868616768235,0.11350127616909499,0.054929932043438864,0.29290667603417697,0.4459894400646182,0.7583490592859219,0.9559649231842995,WEIGHTED_INVERSE_EMPIRICAL_CDF
TARGET_N_BAND,N_GE_100,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,587,388,388,64752,0,64752.0,6.0,9.266123054114158e-05,0.13092669651943364,0.06511417816883686,0.34354360359502695,0.5159166088531199,0.8016102825733094,0.9559649231842995,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
