layer,synthetic_species_id,world,orientation,target_fold,support_cells,support_cells_zero_target_fold_plots,support_truth_mass_fraction_zero_target_fold_plots,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,entropy_bias,true_concentration,estimated_concentration,concentration_bias,estimated_total_mass,total_mass_relative_error,cell_bias,cell_relative_bias,cell_rmse,cell_relative_rmse,cell_mass_correlation,ci95_coverage_all_support,ci95_coverage_positive_exposure
A1,SYN005,STRONG,BA,A,140,4,0.025105563072921756,0.30445347985449384,16.176506918573867,15.584058979038884,4.078070371149677,3.7104520183525502,-0.3676183527971264,0.025460824207712885,0.042044077206792735,0.01658325299907985,100000000.0,0.0,0.0,-0.2362614658497465,793746.203445158,0.9393478894578219,0.8779738035728385,,
A2,SYN005,STRONG,BA,A,140,4,0.025105563072921756,0.16939819495937106,6.172647763239149,6.8480561878633,4.078070371149677,4.009197226928164,-0.06887314422151292,0.025460824207712885,0.027604083014564074,0.0021432588068511886,98869813.77921957,-0.01130186220780427,-8072.758719860207,-0.08443422091394095,315277.6789024051,0.9388900773537254,0.9646391644499906,0.7,0.7205882352941176
A1,SYN005,PAIRED_NULL,AB,B,140,2,0.006847797650775318,0.30576677259574064,24.54773660328855,30.207201447398063,4.078070371149677,3.6681669380756916,-0.409903433073985,0.025460824207712878,0.03732463598682113,0.011863811779108249,100000000.0,2.220446049250313e-16,7.98276492527553e-11,-0.3082382519484559,669203.3386230918,0.9763470031948578,0.8980093941920672,,
A2,SYN005,PAIRED_NULL,AB,B,140,2,0.006847797650775318,0.12649244810890312,2.9192669290689244,3.0425303462796833,4.078070371149677,4.041472853884447,-0.03659751726522931,0.025460824207712878,0.0251996722124921,-0.00026115199522077845,95387068.9912219,-0.04612931008778065,-32949.50720555769,-0.11597082995989545,197838.7426601758,0.871061650536423,0.9861252186405225,0.7214285714285714,0.7318840579710145
A1,SYN005,PAIRED_NULL,BA,A,140,4,0.05282135553990175,0.3163842449408734,28.45634636644767,34.65184638987044,4.078070371149677,3.745761767388887,-0.33230860376078963,0.025460824207712878,0.0342503898418356,0.008789565634122722,100000000.0,2.220446049250313e-16,8.980610540934972e-11,-0.1697111022265872,625992.0401346306,1.4226752047721296,0.8961643012441655,,
A2,SYN005,PAIRED_NULL,BA,A,140,4,0.05282135553990175,0.21197690192284105,10.138756296899567,13.9632111925622,4.078070371149677,4.029192794410234,-0.04887757673944293,0.025460824207712878,0.024956440839056716,-0.0005043833686561618,96735560.94009806,-0.032644390599019135,-23317.421856442303,-0.06162643364309753,349368.8180829161,1.0888676111735258,0.9524343900956195,0.6642857142857143,0.6838235294117647
A1,SYN006,STRONG,AB,B,66,0,0.0,0.20395893473181825,9.182960790181694,11.098260141848307,3.1920759122705515,2.9434651165489614,-0.24861079572159017,0.060108578177479915,0.07946922377424308,0.019360645596763162,100000000.0,-3.3306690738754696e-16,-3.890432487947471e-10,-0.13174350223627562,1422905.4709979878,1.0019736465097695,0.8918232189983274,,
A2,SYN006,STRONG,AB,B,66,0,0.0,0.08998334922709482,1.5217693345124352,0.49276201898132255,3.1920759122705515,3.1218710057168235,-0.07020490655372802,0.060108578177479915,0.06357512458497283,0.0034665464074929153,95948921.37402004,-0.04051078625979987,-61379.97918151511,-0.13383142933646866,321087.27459476906,0.7707181611556447,0.9926869652145051,0.7272727272727273,0.7272727272727273
A1,SYN006,STRONG,BA,A,66,1,0.0002745657326295512,0.21695590055618091,9.353125800745946,11.008056443768627,3.1920759122705515,2.931605799348107,-0.2604701129224445,0.060108578177479915,0.08208111824995284,0.02197254007247293,100000000.00000001,-1.1102230246251565e-16,-3.890432487947471e-10,-0.16393961122155226,1500339.4157530928,1.1070394030977575,0.8844386206419375,,
A2,SYN006,STRONG,BA,A,66,1,0.0002745657326295512,0.11634137058360439,3.557499337924504,3.848192508489989,3.1920759122705515,3.1970035613695966,0.004927649099045084,0.060108578177479915,0.05818028771176713,-0.001928290465712787,101164030.03087652,0.01164030030876484,17636.81864964367,0.22669885016698535,415325.8961745943,1.2325685830773057,0.9872831524166311,0.7272727272727273,0.7384615384615385
