state,synthetic_species_id,world,orientation,target_fold,original_support_cells,retained_support_cells,lost_support_cells,support_fraction_retained,support_fraction_lost,latent_truth_mass_fraction_retained,latent_truth_mass_fraction_lost,A2_raw_mass_fraction_retained,A2_raw_mass_fraction_lost
D3,SYN042,STRONG,AB,B,126,121,5,0.9603174603174603,0.03968253968253965,0.9990743627229063,0.000925637277093716,0.9992519334667789,0.0007480665332211256
D2,SYN043,STRONG,AB,B,110,110,0,1.0,0.0,0.9999999999999998,2.220446049250313e-16,1.0,0.0
D3,SYN043,STRONG,AB,B,110,110,0,1.0,0.0,0.9999999999999998,2.220446049250313e-16,1.0,0.0
D2,SYN044,STRONG,AB,B,119,119,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D3,SYN044,STRONG,AB,B,119,117,2,0.9831932773109243,0.01680672268907568,0.9996619396691387,0.0003380603308612562,1.0,0.0
D2,SYN045,STRONG,AB,B,79,78,1,0.9873417721518988,0.012658227848101222,0.9995580586074739,0.00044194139252606846,0.9999999999999999,1.1102230246251565e-16
D3,SYN045,STRONG,AB,B,79,75,4,0.9493670886075949,0.05063291139240511,0.9969268589123964,0.0030731410876035925,0.9991666069155586,0.0008333930844414139
D2,SYN046,STRONG,AB,B,101,100,1,0.9900990099009901,0.00990099009900991,0.998938587293284,0.0010614127067160029,1.0,0.0
D3,SYN046,STRONG,AB,B,101,97,4,0.9603960396039604,0.03960396039603964,0.9972060788410918,0.002793921158908197,0.9981736479752176,0.0018263520247824294
D2,SYN047,STRONG,AB,B,156,156,0,1.0,0.0,0.9999999999999998,2.220446049250313e-16,1.0,0.0
D3,SYN047,STRONG,AB,B,156,151,5,0.967948717948718,0.03205128205128205,0.9982272635044496,0.001772736495550431,0.9976247601509529,0.002375239849047084
D2,SYN048,STRONG,AB,B,130,114,16,0.8769230769230769,0.12307692307692308,0.9904479635191485,0.009552036480851456,0.9999999999999999,1.1102230246251565e-16
D3,SYN048,STRONG,AB,B,130,105,25,0.8076923076923077,0.1923076923076923,0.9807352210743974,0.019264778925602632,0.9925120554420521,0.007487944557947879
D2,SYN049,STRONG,AB,B,100,99,1,0.99,0.010000000000000009,0.9998781453816155,0.00012185461838454259,1.0,0.0
D3,SYN049,STRONG,AB,B,100,99,1,0.99,0.010000000000000009,0.9998781453816155,0.00012185461838454259,1.0,0.0
D2,SYN050,STRONG,AB,B,144,144,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN050,STRONG,AB,B,144,144,0,1.0,0.0,1.0,0.0,1.0,0.0
D2,SYN051,STRONG,AB,B,154,144,10,0.935064935064935,0.06493506493506496,0.9960894431930025,0.003910556806997478,1.0,0.0
D3,SYN051,STRONG,AB,B,154,140,14,0.9090909090909091,0.09090909090909094,0.9925933068651414,0.007406693134858644,0.9979424983015024,0.0020575016984976102
D2,SYN052,STRONG,AB,B,75,74,1,0.9866666666666667,0.013333333333333308,0.961484689880814,0.038515310119185964,1.0,0.0
D3,SYN052,STRONG,AB,B,75,74,1,0.9866666666666667,0.013333333333333308,0.961484689880814,0.038515310119185964,1.0,0.0
D2,SYN053,STRONG,AB,B,176,170,6,0.9659090909090909,0.03409090909090906,0.9963416111962893,0.0036583888037107215,1.0,0.0
D3,SYN053,STRONG,AB,B,176,167,9,0.9488636363636364,0.051136363636363646,0.9708012090184512,0.02919879098154876,0.9759610434780762,0.024038956521923782
D2,SYN054,STRONG,AB,B,118,115,3,0.9745762711864406,0.025423728813559365,0.9989604622772783,0.001039537722721695,0.9999999999999999,1.1102230246251565e-16
D3,SYN054,STRONG,AB,B,118,112,6,0.9491525423728814,0.05084745762711862,0.9968756956429652,0.003124304357034813,0.997305593944519,0.002694406055480991
D2,SYN055,STRONG,AB,B,98,97,1,0.9897959183673469,0.010204081632653073,0.9989423329599099,0.0010576670400901378,1.0,0.0
D3,SYN055,STRONG,AB,B,98,94,4,0.9591836734693877,0.04081632653061229,0.9965483384395273,0.0034516615604727185,0.9975892011320021,0.0024107988679978876
D2,SYN056,STRONG,AB,B,159,147,12,0.9245283018867925,0.07547169811320753,0.9849904098071874,0.01500959019281256,1.0,0.0
D3,SYN056,STRONG,AB,B,159,124,35,0.779874213836478,0.22012578616352196,0.9533856927398602,0.04661430726013982,0.9629063699930099,0.037093630006990064
