candidate_id,frame_id,state_fips,state_abbr,state_name,fold,estimator_family,selected_panels,parent_design_block_count,represented_design_block_count,missing_design_block_count,parent_area_acres,constant_response_recovered_area_acres,full_area_recovery_ratio,missing_parent_area_acres,max_represented_stratum_calibration_relative_error,constant_identity_status,full_design_coverage_status,variance_estimable_block_count_n_ge2,full_evaluation_expns_reused_as_final_fold_weight,final_estimator_selected
T1_MN_A2-3_B1-4-5,T1,27,MN,Minnesota,B,TI_POOLED_SELECTED_PANELS,1-4-5,57,57,0,54010347.699999996,54010347.699999996,1.0,0.0,1.6207167230140652e-16,PASS,PASS,57,0,0
T1_MN_A2-3_B1-4-5,T1,27,MN,Minnesota,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-4-5,171,171,0,54010347.699999996,54010347.699999996,1.0,0.0,1.9057462533519446e-16,PASS,PASS,168,0,0
T1_MS_A4-5_B1-2-3,T1,28,MS,Mississippi,A,TI_POOLED_SELECTED_PANELS,4-5,21,21,0,31001949.25,31001949.25,1.0,0.0,0.0,PASS,PASS,21,0,0
T1_MS_A4-5_B1-2-3,T1,28,MS,Mississippi,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,4-5,42,42,0,31001949.25,31001949.25,1.0,0.0,1.3556562059021686e-16,PASS,PASS,42,0,0
T1_MS_A4-5_B1-2-3,T1,28,MS,Mississippi,B,TI_POOLED_SELECTED_PANELS,1-2-3,21,21,0,31001949.25,31001949.25,1.0,0.0,1.5118410040675e-16,PASS,PASS,21,0,0
T1_MS_A4-5_B1-2-3,T1,28,MS,Mississippi,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-3,63,63,0,31001949.25,31001949.25,1.0,0.0,1.802302383946172e-16,PASS,PASS,63,0,0
T1_MO_A4-5_B1-2-3,T1,29,MO,Missouri,A,TI_POOLED_SELECTED_PANELS,4-5,46,46,0,44610858.5,44610858.5,1.0,0.0,1.4738804189727812e-16,PASS,PASS,45,0,0
T1_MO_A4-5_B1-2-3,T1,29,MO,Missouri,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,4-5,92,91,1,44610858.5,44600703.5,0.999772364838036,10155.0,1.3944579262568578e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,86,0,0
T1_MO_A4-5_B1-2-3,T1,29,MO,Missouri,B,TI_POOLED_SELECTED_PANELS,1-2-3,46,46,0,44610858.5,44610858.5,1.0,0.0,1.5029038785808862e-16,PASS,PASS,45,0,0
T1_MO_A4-5_B1-2-3,T1,29,MO,Missouri,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-3,138,134,4,44610858.5,44530386.76232938,0.9981961401242565,80471.73767062277,1.5613310857554937e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,127,0,0
T1_MT_A2-4_B1-3-5,T1,30,MT,Montana,A,TI_POOLED_SELECTED_PANELS,2-4,230,230,0,94106757.0,94106757.0,1.0,0.0,1.7867634496408498e-16,PASS,PASS,229,0,0
T1_MT_A2-4_B1-3-5,T1,30,MT,Montana,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-4,460,453,7,94106757.0,93740322.04458033,0.9961061780566971,366434.9554196745,1.6363727603259216e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,426,0,0
T1_MT_A2-4_B1-3-5,T1,30,MT,Montana,B,TI_POOLED_SELECTED_PANELS,1-3-5,230,230,0,94106757.0,94106757.0,1.0,0.0,1.867186145937878e-16,PASS,PASS,230,0,0
T1_MT_A2-4_B1-3-5,T1,30,MT,Montana,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-3-5,690,677,13,94106757.0,93663653.30078167,0.9952914783874836,443103.69921833277,1.6696957430009231e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,639,0,0
T1_NE_A1-5_B2-3-4,T1,31,NE,Nebraska,A,TI_POOLED_SELECTED_PANELS,1-5,15,15,0,49506064.0,49506064.0,1.0,0.0,1.2476076930283213e-16,PASS,PASS,15,0,0
