synthetic_species_id,world,orientation,target_fold,D3_support_cells,legal_target_fold_plots_in_support,plots_per_occupied_cell,target_fold_TI_sum_in_support,kish_effective_plot_information,mean_expected_total_tree_count,latent_concentration_D3,two_panel_plot_fraction,three_panel_plot_fraction,dominant_panel_role,E1_hellinger,E4_hellinger,E0_test_appearance_count,E5_test_appearance_count,individual_gain_missing_semantics,E0_individual_gain_pp_mean_over_test_appearances,E5_individual_gain_pp_mean_over_MC_and_test_appearances,E5_minus_E0_individual_gain_pp
SYN029,PAIRED_NULL,AB,B,121,2546,21.041322314049587,27182238.411277205,2139.775057013985,1466.60498046875,0.04878053059134603,0.0,1.0,3_PANEL,0.1327803412668088,0.007882255380124915,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,0.2955180114179457,7.149479192254765,6.853961180836819
SYN029,PAIRED_NULL,BA,A,121,1682,13.900826446280991,27061145.307493407,1324.9611000097616,1094.5450439453125,0.04878053059134603,1.0,0.0,2_PANEL,0.14748192245368058,0.010863870341679484,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,0.2955180114179457,6.3989717787662315,6.103453767348285
SYN030,STRONG,AB,B,88,3931,44.67045454545455,38570193.80256601,3137.483422100414,1590.4150390625,0.040030716828477385,0.0,1.0,3_PANEL,0.09110348308659227,0.005333190121735936,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN030,STRONG,BA,A,88,2645,30.056818181818183,39079387.05999355,2076.6815686199275,1062.27001953125,0.040030716828477385,1.0,0.0,2_PANEL,0.09555525767496263,0.007305599567555148,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN030,PAIRED_NULL,AB,B,88,3931,44.67045454545455,38570193.80256601,3137.483422100414,1688.614990234375,0.04003071682847737,0.0,1.0,3_PANEL,0.09575297826788183,0.005374000842673452,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN030,PAIRED_NULL,BA,A,88,2645,30.056818181818183,39079387.05999355,2076.6815686199275,1093.3699951171875,0.04003071682847737,1.0,0.0,2_PANEL,0.12065846199989172,0.007794853532086854,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN031,STRONG,AB,B,86,1889,21.96511627906977,24102172.646573618,1713.29095483062,1381.8199462890625,0.062928385333009,0.0,1.0,3_PANEL,0.10081724150806061,0.00652261094334426,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,42.17994316218018,56.860568255621786,14.680625093441606
SYN031,STRONG,BA,A,86,1248,14.511627906976743,24321741.016040787,1114.6885577145295,922.7000122070312,0.062928385333009,1.0,0.0,2_PANEL,0.12571048889625783,0.0078063019927059295,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,42.17994316218018,51.799807163388415,9.619864001208235
SYN031,PAIRED_NULL,AB,B,86,1889,21.96511627906977,24102172.646573618,1713.29095483062,1322.614990234375,0.06291688721885431,0.0,1.0,3_PANEL,0.10314827127351997,0.005492745485797516,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,0.2856125861255885,7.739349811453666,7.453737225328077
SYN031,PAIRED_NULL,BA,A,86,1248,14.511627906976743,24321741.016040787,1114.6885577145295,883.5750122070312,0.06291688721885431,1.0,0.0,2_PANEL,0.13398791108009672,0.007860847469990438,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,0.2856125861255885,6.462673163859389,6.1770605777338
