state,synthetic_species_id,world,orientation,support_cells_D3,cell_mass_correlation,allocation_bias,relative_bias,allocation_rmse,relative_rmse,entropy_bias,concentration_bias,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,true_concentration,estimated_concentration
E1,SYN020,STRONG,BA,75,0.9835620494947284,6.866613759074861e-20,5.149960319306145e-18,0.006034594909785905,0.45259461823394287,0.003984961031287426,-0.006440614039416259,0.12685979883467738,5.974200474007767,7.91923293002922,2.9183381687630843,2.9223231297943717,0.09570927779177277,0.08926866375235651
E1,SYN020,PAIRED_NULL,AB,75,0.995289400666373,-2.327420663602216e-18,-1.7455654977016616e-16,0.00401865967106063,0.3013994753295472,-0.09272548577785766,0.005037529176259575,0.11523378651505335,8.243987131029355,12.451272943765298,2.672481231784033,2.5797557460061755,0.1339337815344069,0.13897131071066648
E1,SYN020,PAIRED_NULL,BA,75,0.992381529043243,-6.100444223851772e-19,-4.575333167888828e-17,0.00527233124729027,0.39542484354677016,0.005034967716244232,-0.012566292198195647,0.16025298500998686,6.807666497297275,8.727670925818165,2.672481231784033,2.6775161995002774,0.1339337815344069,0.12136748933621126
E1,SYN021,STRONG,AB,160,0.9729190573554098,-8.673617379884036e-20,-1.3877787807814457e-17,0.0020508818758777215,0.3281411001404354,-0.0690417367953895,0.0012363526857256182,0.1265978468588375,4.1737819136228085,5.690101811568128,4.369059738086958,4.300018001291568,0.017477241120052927,0.018713593805778545
E1,SYN021,STRONG,BA,160,0.9516542917282103,3.4694469519536144e-19,5.551115123125783e-17,0.0028439131539434053,0.45502610463094484,-0.1366587232114167,0.0022651032480983414,0.1675607799616963,5.478310143753877,7.407498551180062,4.369059738086958,4.232401014875541,0.017477241120052927,0.01974234436815127
E1,SYN021,PAIRED_NULL,AB,160,0.9772987580986369,-4.553649124439119e-19,-7.28583859910259e-17,0.0018533726730312339,0.2965396276849974,-0.0521546505932724,0.0007038393833244082,0.1278861139501459,2.682144776911996,1.7621529422667013,4.357986805636484,4.305832155043212,0.017778674887445316,0.018482514270769725
E1,SYN021,PAIRED_NULL,BA,160,0.9568004822819594,3.415236843329339e-19,5.464378949326942e-17,0.002600657294754113,0.4161051671606581,-0.09251562963213988,0.001264310510580062,0.18073989213048952,3.5262497961769945,1.6797272917900021,4.357986805636484,4.265471176004344,0.017778674887445316,0.01904298539802538
E1,SYN022,STRONG,AB,164,0.9729000490137416,-6.346549302354172e-19,-1.040834085586084e-16,0.0020625082063496112,0.3382513458413362,-0.10042445283266499,0.0018206013494600284,0.13108355876574282,5.630725870911961,7.070550560676607,4.416295486572632,4.315871033739967,0.01677316040580901,0.01859376175526904
E1,SYN022,STRONG,BA,164,0.9509610351385718,-1.4597063395414596e-18,-2.3939183968479933e-16,0.0025045714974241753,0.4107497255775647,-0.040123150396097707,-0.00047998218438883786,0.15840733999890289,4.454368839730922,4.517832568443892,4.416295486572632,4.376172336176534,0.01677316040580901,0.016293178221420172
E1,SYN022,PAIRED_NULL,AB,164,0.9724069311119314,3.2129405843167997e-19,5.269222558279553e-17,0.00199713635939209,0.32753036294030285,-0.03852583307295454,0.0003933486345827561,0.14439325169713443,5.239886108649816,6.878053952323892,4.387751801309843,4.349225968236889,0.01769612605810343,0.018089474692686187
E1,SYN022,PAIRED_NULL,BA,164,0.9660475581002187,3.9137054031184064e-19,6.418476861114187e-17,0.002349983176949581,0.38539724101973133,-0.12566220968852448,0.0017428769644213561,0.16871580912409517,5.8837669658039475,7.3800365034444635,4.387751801309843,4.262089591621319,0.01769612605810343,0.019439003022524787
E1,SYN023,STRONG,AB,166,0.9896664339498774,7.315098995082922e-19,1.2143064331837652e-16,0.0017191044686745208,0.28537134179997053,-0.05031042320822854,0.0005323653675955789,0.1211292992306599,3.2941433785862033,3.885975849590352,4.035295165157083,3.9849847419488547,0.029351463525049887,0.029883828892645466
E1,SYN023,STRONG,BA,166,0.9831893497005574,1.3013691739020286e-18,2.160272828677368e-16,0.0021661130288474733,0.35957476278868067,-0.03462074998970355,-0.00045091931007554265,0.15712556947268308,2.5891460920040874,0.7742122468491632,4.035295165157083,4.00067441516738,0.029351463525049887,0.028900544214974344
E1,SYN023,PAIRED_NULL,AB,166,0.9868348103357509,6.89709333822104e-19,1.1449174941446927e-16,0.0019803491359025012,0.32873795655981525,-0.06644492709169914,0.0010117429380764181,0.133795414856231,3.3755069016171877,2.8915749028211857,4.019563767507341,3.953118840415642,0.029848882227861098,0.030860625165937516
E1,SYN023,PAIRED_NULL,BA,166,0.9799360830546255,4.1800565686188125e-20,6.93889390390723e-18,0.0025643053898240587,0.4256746947107938,-0.10545442703145413,0.00284282055154024,0.14924502969679956,4.298299207856514,6.068914746987275,4.019563767507341,3.914109340475887,0.029848882227861098,0.03269170277940134
E1,SYN024,STRONG,AB,74,0.9960574539553504,2.5639916241211253e-20,1.8973538018496328e-18,0.0023624961925565505,0.17482471824918472,-0.00975780523426062,0.0009977846199144408,0.0670127834358157,1.2077351531252876,1.6207971576983342,3.1246343203391613,3.1148765151049007,0.06478753142599002,0.06578531604590446
E1,SYN024,STRONG,BA,74,0.9957605144286059,-5.3697310299451e-19,-3.973600962159374e-17,0.0024213234078156467,0.17917793217835784,-0.025980519739071894,-0.00037270160675904884,0.08480464241641482,1.0558607914171965,1.7104207403204474,3.1246343203391613,3.0986538006000894,0.06478753142599002,0.06441482981923097
E1,SYN024,PAIRED_NULL,AB,74,0.9904006163303145,5.6261301923572125e-19,4.1633363423443376e-17,0.003947866648969341,0.2921421320237313,-0.06403879158024495,0.004091231394878728,0.0812321047499518,3.434647018685277,5.626335559504728,3.085983343073449,3.021944551493204,0.0677014263704579,0.07179265776533662
