K,orientation,metric,n,mean,sd,mcse,q05,median,q95,min,max
8,BA,paired_null_gain_pp,25,3.626063149695517,0.3868984341351807,0.07737968682703614,3.134743507856055,3.6441648270770353,4.148466304823948,2.8582474540273255,4.368881255023788
8,BA,separation_pp,25,1.9491500988728625,1.1181688559582486,0.2236337711916497,0.36785721170128594,2.106319823163876,3.226166507830168,-1.8243416810517639,3.540369799707579
8,BA,BA_minus_AB_separation_pp,25,-3.1316035113845415,1.0815080881323738,0.21630161762647476,-4.867874508178451,-3.2116408380252204,-1.6586867808690433,-5.267478925934597,-1.2056652602296674
8,BA,STRONG_hellinger_median,25,0.04584079311982487,0.0006867611237670909,0.00013735222475341817,0.044741109206590794,0.04595419732396015,0.0469613294107132,0.04441161942214167,0.04709471727827264
8,BA,PAIRED_NULL_hellinger_median,25,0.04738243856146769,0.0008976213599678989,0.00017952427199357978,0.04607262606764969,0.04738488619577707,0.04904872824290812,0.046000260721671835,0.04961305428762733
8,BA,STRONG_sliced_wasserstein_km_median,25,1.3094379229397202,0.0809749175508511,0.016194983510170218,1.1834161269256451,1.3257540758426782,1.3989579290010068,1.1342442509440558,1.5239499410640784
8,BA,PAIRED_NULL_sliced_wasserstein_km_median,25,1.5910104651771837,0.0826879969966996,0.01653759939933992,1.491828721338705,1.5921932227030586,1.7463498717086297,1.4208509498619255,1.7951863721946926
8,BA,STRONG_geometry_coverage_crosscheck,25,0.9875,0.02551551815399144,0.005103103630798288,0.9375,1.0,1.0,0.9375,1.0
8,BA,PAIRED_NULL_geometry_coverage_crosscheck,25,0.875,0.0,0.0,0.875,0.875,0.875,0.875,0.875
16,AB,strong_gain_pp,12,8.487171160848968,0.4601457764287443,0.13283264394380245,8.063205423397664,8.419868231713485,9.406877634698949,8.005122762011617,9.428016100862141
16,AB,paired_null_gain_pp,12,0.9745016233775887,0.3469896048686095,0.1001672708884468,0.3684277394195743,1.0149826965414976,1.3914972357043671,0.3236575729221577,1.4345854523635457
16,AB,separation_pp,12,7.072537605375062,0.27048261452458405,0.0780816051534412,6.751468516674117,7.006941997402963,7.46821375158747,6.63492675245881,7.68632305903052
16,AB,BA_minus_AB_separation_pp,12,-1.269875297341945,0.5340101340396923,0.15415544731890227,-1.9198134223503152,-1.3493329800037719,-0.4514715029952629,-1.9613671454402315,0.01947975651516476
16,AB,STRONG_hellinger_median,12,0.02487557535343395,0.0004286253475832369,0.0001237334799043394,0.02423187411805206,0.024965631341408154,0.025382971507896496,0.0240856059395014,0.025501300490652183
16,AB,PAIRED_NULL_hellinger_median,12,0.025329143469759768,0.00030356591438486215,8.763193119344753e-05,0.024973840129219386,0.02526790912521512,0.025867149701551205,0.02491080256832348,0.02602662754338502
16,AB,STRONG_sliced_wasserstein_km_median,12,0.7599371131626699,0.04074919167060322,0.011763278390141215,0.7118490153824826,0.7541610561845374,0.8213393248372065,0.6991418740722564,0.844273049411131
16,AB,PAIRED_NULL_sliced_wasserstein_km_median,12,0.9010867956523158,0.052554744761827324,0.01517124801771654,0.8121298284080535,0.917666685598119,0.9651612219306627,0.7871079180255823,0.9709134647159448
16,AB,STRONG_geometry_coverage_crosscheck,12,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
16,AB,PAIRED_NULL_geometry_coverage_crosscheck,12,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.9375,0.9375
16,BA,strong_gain_pp,12,7.946335096147223,0.23065708959493764,0.06658496638406644,7.62772083227408,7.988099064056755,8.21751104020607,7.470566503031606,8.250463385305146
16,BA,paired_null_gain_pp,12,2.105721019215972,0.3112636359551577,0.089854072003826,1.6832167487898013,2.0942280581630475,2.524612079880318,1.5524739318726928,2.544882374344503
16,BA,separation_pp,12,5.802662308033118,0.45791790736669485,0.1321895135424557,5.29427229864678,5.773135247659856,6.4811718627224115,5.252230119518027,6.962640754838956
16,BA,BA_minus_AB_separation_pp,12,-1.269875297341945,0.5340101340396923,0.15415544731890227,-1.9198134223503152,-1.3493329800037719,-0.4514715029952629,-1.9613671454402315,0.01947975651516476
16,BA,STRONG_hellinger_median,12,0.031215690880672498,0.0007898809331842033,0.0002280189847008263,0.030368735325846337,0.031064188463836996,0.03240672607458242,0.030317396616452164,0.0325785639435788
16,BA,PAIRED_NULL_hellinger_median,12,0.032038099635812424,0.0005547652930212495,0.00016014694563144002,0.031099611983889115,0.03217465244784737,0.032665523678273765,0.03109235331483485,0.03278619209302755
16,BA,STRONG_sliced_wasserstein_km_median,12,0.9040590786268773,0.06613020495235768,0.019090145815404413,0.82280498409541,0.8874077592011224,1.0106162445177325,0.8197953212786167,1.0251281589874714
16,BA,PAIRED_NULL_sliced_wasserstein_km_median,12,1.111793074023667,0.06078997145056584,0.017548553190506928,1.0550028685751172,1.0913725594362227,1.2073836832755631,1.048371804982076,1.2751509652526858
16,BA,STRONG_geometry_coverage_crosscheck,12,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
16,BA,PAIRED_NULL_geometry_coverage_crosscheck,12,0.890625,0.02826668855416534,0.008159890122923338,0.875,0.875,0.9375,0.875,0.9375
32,AB,strong_gain_pp,6,10.862694418634758,0.20362857921388217,0.08313101935365272,10.577317884586027,10.909398377421196,11.05848302574352,10.52292130625064,11.06999563592538
32,AB,paired_null_gain_pp,6,0.18787599401463786,0.29289539030324063,0.11957404237604392,-0.20421230771918417,0.2765606390372475,0.49636026226611435,-0.25247369311894785,0.549702259206142
32,AB,separation_pp,6,10.479343486348162,0.4609716977050689,0.18819090754031903,9.85145817265169,10.570860851038958,10.873992738488901,9.707585110781878,10.876147103493782
32,AB,BA_minus_AB_separation_pp,6,-2.4285515317963955,0.9703334878722534,0.39613698760368504,-3.5985406071511212,-2.503880326712217,-1.2840277515274705,-3.763551604134026,-1.2198108445461884
32,AB,STRONG_hellinger_median,6,0.017530800075912414,0.00037768913294593525,0.00015419094285195676,0.017186095742791105,0.017442371060540668,0.018012158676721134,0.017183481320613446,0.018062998351214464
32,AB,PAIRED_NULL_hellinger_median,6,0.017756520667263364,0.00020216682449292436,8.253426048774421e-05,0.017513374996539145,0.017765199430508777,0.01796751144126066,0.017485789254515736,0.017971621049802555
32,AB,STRONG_sliced_wasserstein_km_median,6,0.5561680716445214,0.03946362571097777,0.01611095773201243,0.5213114180868993,0.5458978939699366,0.6111293766403688,0.5212020419733467,0.6210732265175618
32,AB,PAIRED_NULL_sliced_wasserstein_km_median,6,0.6325465360440595,0.05116777881020167,0.020889158226097906,0.5873000115728226,0.6255267274024657,0.7050695305063577,0.5830075718966119,0.7296186315320361
32,AB,STRONG_geometry_coverage_crosscheck,6,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
