scope,predictor,outcome,statistic,value,n,threshold_applied
BA,D3_support_cells,E1_hellinger,pearson_r,0.7356619359798472,144,NO
BA,D3_support_cells,E1_hellinger,spearman_rho,0.7376231737647618,144,NO
BA,D3_support_cells,E4_hellinger,pearson_r,0.7689619053704525,144,NO
BA,D3_support_cells,E4_hellinger,spearman_rho,0.7703695273738947,144,NO
BA,D3_support_cells,E5_minus_E0_individual_gain_pp,pearson_r,0.046452203526457694,98,NO
BA,D3_support_cells,E5_minus_E0_individual_gain_pp,spearman_rho,0.03232957797177228,98,NO
BA,latent_concentration_D3,E1_hellinger,pearson_r,-0.3867823030757776,144,NO
BA,latent_concentration_D3,E1_hellinger,spearman_rho,-0.5228333418760445,144,NO
BA,latent_concentration_D3,E4_hellinger,pearson_r,-0.4537901943353936,144,NO
BA,latent_concentration_D3,E4_hellinger,spearman_rho,-0.5762415890275826,144,NO
BA,latent_concentration_D3,E5_minus_E0_individual_gain_pp,pearson_r,0.10032206409951784,98,NO
BA,latent_concentration_D3,E5_minus_E0_individual_gain_pp,spearman_rho,0.09546852835196451,98,NO
BA,two_panel_plot_fraction,E1_hellinger,pearson_r,nan,144,NO
BA,two_panel_plot_fraction,E1_hellinger,spearman_rho,nan,144,NO
BA,two_panel_plot_fraction,E4_hellinger,pearson_r,nan,144,NO
BA,two_panel_plot_fraction,E4_hellinger,spearman_rho,nan,144,NO
BA,two_panel_plot_fraction,E5_minus_E0_individual_gain_pp,pearson_r,nan,98,NO
BA,two_panel_plot_fraction,E5_minus_E0_individual_gain_pp,spearman_rho,nan,98,NO
