K,block,start_realization,end_realization,orientation,strong_gain_pp,paired_null_gain_pp,separation_pp,strong_geometry_coverage,paired_null_geometry_coverage,STRONG_hellinger_median,PAIRED_NULL_hellinger_median,STRONG_sliced_wasserstein_km_median,PAIRED_NULL_sliced_wasserstein_km_median,STRONG_geometry_coverage_crosscheck,PAIRED_NULL_geometry_coverage_crosscheck,BA_minus_AB_separation_pp
1,44,44,44,BA,-17.14308582792955,4.035884023630024,-21.178969851559575,0.9375,0.8125,0.13475292227614982,0.13669318364238126,3.785235215721412,4.996202588478465,0.9375,0.8125,-4.6511410284196835
1,45,45,45,AB,-7.9437716703219525,4.128481318375345,-12.072252988697297,1.0,0.875,0.10850863211413257,0.11130120564293573,2.8704349124177035,3.7623182287354755,1.0,0.875,-22.794906086476335
1,45,45,45,BA,-30.989782585967916,3.7596169221630964,-34.86715907517363,0.9375,0.875,0.1304523578370831,0.13221389385436327,3.259846118896429,4.847488889972617,0.9375,0.875,-22.794906086476335
1,46,46,46,AB,-8.526258771098314,4.169106732190842,-13.28472420500116,1.0,0.875,0.10746521758569644,0.11090989261198453,3.0817991059635848,3.7211122740782185,1.0,0.875,-8.468473436170113
1,46,46,46,BA,-17.776993636616947,2.9128668762583607,-21.753197641171273,1.0,0.9375,0.13192321718883324,0.13810209931292933,3.566608531093327,4.552491904807658,1.0,0.9375,-8.468473436170113
1,47,47,47,AB,-12.0507201798854,4.427900558997461,-16.58220013685142,1.0,0.8125,0.10678640707225345,0.11213816863122333,3.116338014957929,3.289800291405526,1.0,0.8125,-12.008976855747932
1,47,47,47,BA,-25.513489061811367,3.0776879307879828,-28.59117699259935,0.9375,0.875,0.13227474625638241,0.13734393013095675,4.080799458418558,4.177430544396123,0.9375,0.875,-12.008976855747932
1,48,48,48,AB,-10.607953500890327,3.8870940527714564,-14.780342740023794,1.0,0.875,0.10798912997320914,0.11296487794642933,3.1705098778376115,3.672192131583964,1.0,0.875,-14.349940660245373
1,48,48,48,BA,-25.944131821338484,3.9024366231529575,-29.130283400269168,0.9375,0.875,0.1332493026356324,0.14128319827937386,3.7698858833407147,4.440866207062141,0.9375,0.875,-14.349940660245373
1,49,49,49,AB,-6.807763145125911,3.595531929770333,-10.403295074896244,1.0,0.875,0.10967697036982212,0.11175459370281382,3.3278127456965056,3.657839849078107,1.0,0.875,-20.40163666248447
1,49,49,49,BA,-25.870654921198764,3.285957534172105,-30.804931737380716,0.9375,0.875,0.13265294719028578,0.1386535664478884,3.546010478452711,4.487816196228217,0.9375,0.875,-20.40163666248447
1,50,50,50,AB,-11.913662446295385,3.681994729166824,-13.777387764793444,1.0,0.875,0.10837894388226323,0.11151510594187011,3.1365565082889053,3.2423352226255275,1.0,0.875,-8.672869128291625
1,50,50,50,BA,-18.10448772862601,4.003592136088257,-22.45025689308507,0.9375,0.875,0.13702036593269928,0.13682853372949666,3.91199301859053,4.021825698544454,0.9375,0.875,-8.672869128291625
1,51,51,51,AB,-11.54153296084981,4.7139331395257535,-16.482013096137653,1.0,0.8125,0.10947815046355132,0.11189872591559183,2.9342564322599785,3.641835893167177,1.0,0.8125,0.9757180822337723
1,51,51,51,BA,-12.114671547122356,3.3916234667815255,-15.50629501390388,1.0,0.875,0.1333156619387749,0.13734279015318215,3.4620458275093817,4.319031522382732,1.0,0.875,0.9757180822337723
1,52,52,52,AB,-13.836470083234847,3.1643892688266977,-14.284819624657304,1.0,0.8125,0.11106321227570506,0.11030265512275919,3.1186314335945333,3.6083158191398628,1.0,0.8125,-13.30448993291749
1,52,52,52,BA,-26.38308543157791,3.150587642032069,-27.589309557574794,0.9375,0.8125,0.13454699782190205,0.13348983389196883,3.7012791617537455,4.852034454318742,0.9375,0.8125,-13.30448993291749
