layer,model,world,observation_regime,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_support_dispersion,geometry_support_dispersion,source
L2,M0,PAIRED_NULL,O2,BA,3,9042103,72,28,28,16,0.0,2.4606245864593155,-40.05561922067756,18.787444829425826,1.0,1.0,0.9375,1.0,420.2948558598014,588.646562927099,111.81005537713393,109.0588296643904,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,BA,4,9042104,72,28,28,16,0.2,-12.323996763584534,-1.5064698786798358,-5.441517960547619,0.75,0.875,0.8125,0.875,365.77828400304753,371.2886236743054,137.21373339426745,154.12394945697048,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,BA,5,9042105,72,28,28,16,0.2,-6.613158796416699,-37.02364490129728,-0.6101471520680548,1.0,1.0,1.0,1.0,465.30647790465406,637.5798959868065,126.57597581577187,134.94664609458286,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,AB,1,9042101,72,28,28,16,0.0,-19.250640789291236,-38.9813861255689,-7.7431014903506705,1.0,1.0,1.0,1.0,396.36947915173874,550.8797963037844,103.2705187920382,123.15075540593098,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,AB,2,9042102,72,28,28,16,0.2,-24.921818937463733,-13.817343130871045,-20.62183122233225,0.625,0.75,0.6875,0.875,341.1732157238873,388.3142896110837,134.03322912828838,167.4367478076763,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,AB,3,9042103,72,28,28,16,0.0,-9.810104530093094,-6.1221165714481875,5.633611332758964,0.9375,1.0,0.9375,1.0,365.2525598650912,387.61374736023066,114.48626782491651,125.71749037114316,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,AB,4,9042104,72,28,28,16,0.2,-15.140121424512243,-57.57708523426403,-18.208178971917846,0.9375,0.9375,0.875,0.9375,372.27222290460674,586.6157179898815,119.61120940551268,137.7204917468349,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,AB,5,9042105,72,28,28,16,0.0,0.4391044978317241,-16.431427169727606,8.061067416790141,0.9375,1.0,0.875,0.875,361.58424044185494,420.9976915672711,118.3087284460788,117.78922949814455,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,BA,1,9042101,72,28,28,16,0.0,-9.83796243546663,-38.99467232189672,-2.432088156482105,1.0,1.0,0.875,1.0,364.1940001105343,506.21025706964537,112.96878418517751,124.08261073711864,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O3,BA,2,9042102,72,28,28,16,0.2,-11.723649165716166,-29.524369500023322,-4.827333135743761,0.6875,1.0,0.6875,0.9375,335.07693203231497,434.00628355487765,133.61131313757937,149.2754347355356,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
