target_id,variable,relation_class,target_value_count,pool_value_count,shared_value_count,target_values,pool_values,route,statecd,source_eu,pool_df,target_df,reference_strength,domain_overlap,parent_generic_abs_log_ratio,domain_cov_relative_frobenius,domain_cov_transport_to_noise,generic_joint_relative_frobenius,generic_joint_transport_to_noise,group_size_ratio_pool_to_target,interpretation_boundary
P::12::122301::A::1970863137290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,4,491,171,R5,0.6032473913246923,4.887322171418196,0.7141240462061463,1.290525481835294,96.98110875288674,57.09304959405618,2.88953488372093,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863137290487,MEASYEAR,PARTIAL_OVERLAP,4,5,4,2019|2020|2021|2022,2019|2020|2021|2022|2023,LEVEL1,12,4,491,171,R5,0.6032473913246923,4.887322171418196,0.7141240462061463,1.290525481835294,96.98110875288674,57.09304959405618,2.88953488372093,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863138290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,4,478,184,R5,0.5911436229618048,0.7140796338707446,0.7045035506968583,1.4073944932553601,0.8688244390349407,0.7537520180498601,2.616216216216216,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863138290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,4,478,184,R5,0.5911436229618048,0.7140796338707446,0.7045035506968583,1.4073944932553601,0.8688244390349407,0.7537520180498601,2.616216216216216,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863138290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,4,478,184,R5,0.5911436229618048,0.7140796338707446,0.7045035506968583,1.4073944932553601,0.8688244390349407,0.7537520180498601,2.616216216216216,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863138290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,4,478,184,R5,0.5911436229618048,0.7140796338707446,0.7045035506968583,1.4073944932553601,0.8688244390349407,0.7537520180498601,2.616216216216216,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863139290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,4,609,53,R5,0.562059620596206,1.4882004536646194,0.7100740547239255,0.9935151038886604,0.8622467970487008,0.7719462781181328,11.38888888888889,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863139290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,4,609,53,R5,0.562059620596206,1.4882004536646194,0.7100740547239255,0.9935151038886604,0.8622467970487008,0.7719462781181328,11.38888888888889,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863139290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,4,609,53,R5,0.562059620596206,1.4882004536646194,0.7100740547239255,0.9935151038886604,0.8622467970487008,0.7719462781181328,11.38888888888889,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863139290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,4,609,53,R5,0.562059620596206,1.4882004536646194,0.7100740547239255,0.9935151038886604,0.8622467970487008,0.7719462781181328,11.38888888888889,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
