analysis_species_id,analysis_species_name,confirmed_native_CONUS,core_eligibility_status,all_view_detected_cells_fold_A,all_view_detected_cells_fold_B,native_view_detected_cells_fold_A,native_view_detected_cells_fold_B,passes_ge10_each_fold_all_view,passes_ge10_each_fold_native_view,union_queue_flag,queue_role,little_information_used
171779,Quercus bicolor,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,113,112,112,111,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
171890,Quercus buckleyi,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,24,25,24,25,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172147,Quercus chrysolepis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,69,76,69,76,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172244,Quercus coccinea,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,381,385,381,385,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172538,Quercus douglasii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,41,36,41,36,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172621,Quercus ellipsoidalis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,114,129,111,127,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172635,Quercus emoryi,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,34,28,34,28,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172729,Quercus falcata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,468,467,468,467,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172843,Quercus gambelii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,146,125,146,125,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172855,Quercus garryana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,48,50,48,50,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172866,Quercus geminata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,10,17,10,17,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
172998,Quercus grisea,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,40,35,40,35,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
173053,Quercus hemisphaerica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,20,35,20,35,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
