fia_species_code,fia_name_raw,analysis_species_id,analysis_species_name,analysis_species_authors,mapping_class,diameter_measurement_basis,pooling_group_component_code_count,pooling_group_component_codes,pooling_applied_flag,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,confirmed_native_state_tree_rows,explicit_introduced_state_tree_rows,unclassified_state_tree_rows,component_positive_primary_plots,pooled_species_positive_primary_plots,sum_component_positive_plots_before_dedup,plot_overlap_removed_by_species_pooling,aggregation_rule
121,Pinus palustris,380268,Pinus palustris,Mill.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,121,0,15019,7163,7856,15019,0,0,1725,1725,1725,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
122,Pinus ponderosa,380358,Pinus ponderosa,Douglas ex C.Lawson,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,122;137,1,60476,30635,29841,37546,0,22930,6903,6906,6906,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
123,Pinus pungens,380272,Pinus pungens,Lamb.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,123,0,791,341,450,790,0,1,209,209,209,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
124,Pinus radiata,380297,Pinus radiata,D.Don,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,124,0,32,9,23,32,0,0,4,4,4,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
125,Pinus resinosa,380302,Pinus resinosa,Aiton,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,125,0,24576,11737,12839,24396,49,131,2073,2073,2073,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
126,Pinus rigida,380293,Pinus rigida,Mill.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,126,0,5860,2876,2984,5860,0,0,844,844,844,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
127,Pinus sabiniana,380011,Pinus sabiniana,Douglas,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,127,0,386,177,209,386,0,0,158,158,158,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
128,Pinus serotina,379991,Pinus serotina,Michx.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,128,0,2026,1218,808,2026,0,0,344,344,344,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
129,Pinus strobus,380022,Pinus strobus,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,129,0,33325,16811,16514,33302,0,23,6832,6832,6832,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
130,Pinus sylvestris,380126,Pinus sylvestris,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,130,0,1529,694,835,0,637,892,279,279,279,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
131,Pinus taeda,380129,Pinus taeda,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,131,0,269519,134435,135084,268953,98,468,16390,16390,16390,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
132,Pinus virginiana,380091,Pinus virginiana,Mill.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,132,0,13480,6777,6703,13453,27,0,2586,2586,2586,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
133,Pinus monophylla,380231,Pinus monophylla,Torr. & Frém.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,133,0,13228,6548,6680,13228,0,0,1226,1226,1226,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
134,Pinus discolor,379837,Pinus discolor,D.K.Bailey & Hawksw.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,134,0,192,80,112,192,0,0,32,32,32,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
135,Pinus arizonica,380503,Pinus arizonica,Engelm.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,135,0,7,0,7,7,0,0,2,2,2,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
