analysis_species_id,analysis_species_name,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,decision_status,review_reason
380297,Pinus radiata,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
380317,Pinus remota,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
380406,Picea abies,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
380484,Pinus cembroides,SINGLE_SPECIES_LAYER,1,0,,ATLASG-0418,Pinus cembroides,Pinus cembroides,Zucc.,SPECIES,individual_taxa/atlas_pages/Pinus_cembroides.pdf,Pinus_cembroides,41,Little (1971); eFloras (2013); SEINet (2013),,We follow eFloras and Little (1971) in treating Pinus discolor and Pinus remota as part of Pinus cembroides,remapped,1,,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
380503,Pinus arizonica,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
380723,Pinus aristata,SINGLE_SPECIES_LAYER,1,0,,ATLASG-0414,Pinus aristata,Pinus aristata,Engelm.,SPECIES,individual_taxa/atlas_pages/Pinus_aristata.pdf,Pinus_aristata,17,Little (1971),Bailey (1970),We follow Bailey (1970) in the division of what was Pinus aristata (as mapped in Little [1971]) into Pinus aristata and Pinus longaeva,redigitized,1,,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
381804,Abies grandis,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
457902,Hesperocyparis arizonica,AMBIGUOUS,1,0,,ATLASG-0199,Cupressus arizonica,Hesperocyparis arizonica / Hesperocyparis glabra / Hesperocyparis stephensonii,(Greene) Bartel / (Sudw.) Bartel / (C.B. Wolf) Bartel,SPECIES,individual_taxa/atlas_pages/Cupressus_arizonica.pdf,Cupressus_arizonica,5,Little (1971),,,redigitized,3,,MAINLINE_REVIEW_REQUIRED,AMBIGUOUS;SHARED_OR_MULTI_TAXON_LAYER
457903,Hesperocyparis bakeri,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
457913,Hesperocyparis macrocarpa,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2329229,Juglans hindsii,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2346347,Leucaena leucocephala,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2383853,Neltuma glandulosa,SINGLE_OFFICIAL_ALIAS_LAYER,1,0,,ATLASG-0462,Prosopis glandulosa,Prosopis glandulosa,Torr.,SPECIES,individual_taxa/atlas_pages/Prosopis_glandulosa.pdf,Prosopis_glandulosa,1889,Benson and Darrow (1981); SEINet (2013); Calflora (2013),Burkart (1976),Prosopis glandulosa as used here includes what has been known as either Prosopis glandulosa var. torreyana or Prosopis juliflora var. torreyana,new,1,,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
