model,world,observation_regime,orientation,source_fold,target_fold,synthetic_species_id,occupancy_pi_estimate,beta_binomial_rho,encounter_q_mean,brier_score,log_loss,expected_support_size,true_support_size,expected_support_size_bias,expected_support_size_relative_bias,occupied_cell_recall,precision,iou_jaccard,posterior_entropy_mean,support_size_q05,support_size_q50,support_size_q95,truth_size_within_q05_q95,target_cells,predicted_cells_at_0_5
M0,PAIRED_NULL,O3,AB,A,B,SYN063,,,,0.0377617576381737,0.5216989235762003,70.0,180,-110.0,-0.6111111111111112,0.3888888888888889,1.0,0.3888888888888889,1.4815510058001716e-05,70.0,70.0,70.0,0,2913,70
M1,PAIRED_NULL,O3,AB,A,B,SYN063,0.04688926741583139,0.02,0.07048180529007407,0.03725259968220518,0.18321011097060608,135.89108865854328,180,-44.10891134145672,-0.2450495074525373,0.3888888888888889,1.0,0.3888888888888889,0.1038327197189461,123.35,135.5,150.0,0,2913,70
M2,PAIRED_NULL,O3,AB,A,B,SYN063,0.04688926741583139,0.02,0.07048180529007407,0.009406045798596082,0.0491700729907988,209.75470937620554,180,29.75470937620554,0.16530394097891968,0.8222222222222222,0.9932885906040269,0.8176795580110497,0.11702166796389435,197.0,207.0,222.0,0,2913,149
M0,PAIRED_NULL,O3,AB,A,B,SYN064,,,,0.036388602814967384,0.5027280899916294,32.0,138,-106.0,-0.7681159420289855,0.2318840579710145,1.0,0.2318840579710145,1.4815510057996908e-05,32.0,32.0,32.0,0,2913,32
M1,PAIRED_NULL,O3,AB,A,B,SYN064,0.019744446776177323,0.02,0.08565579938844561,0.035761186927026054,0.1798105859082964,56.41300577869542,138,-81.58699422130458,-0.5912101030529318,0.2318840579710145,1.0,0.2318840579710145,0.04638586186807857,48.0,56.0,64.64999999999999,0,2913,32
M2,PAIRED_NULL,O3,AB,A,B,SYN064,0.019744446776177323,0.02,0.08565579938844561,0.022218000774399414,0.08767427871178168,92.88379552693212,138,-45.11620447306788,-0.3269290179207818,0.427536231884058,0.9833333333333333,0.4244604316546763,0.05645895532046512,83.35,94.0,102.0,0,2913,60
M0,PAIRED_NULL,O3,AB,A,B,SYN065,,,,0.037075180226570546,0.5122135067839149,26.0,134,-108.0,-0.8059701492537313,0.19402985074626866,1.0,0.19402985074626866,1.4815510057996149e-05,26.0,26.0,26.0,0,2913,26
M1,PAIRED_NULL,O3,AB,A,B,SYN065,0.014870818978233823,0.02,0.10296530810366758,0.03641020457170881,0.18046892757808555,42.162708582752536,134,-91.83729141724746,-0.6853529210242347,0.19402985074626866,1.0,0.19402985074626866,0.03257161205531141,36.0,41.0,49.0,0,2913,26
M2,PAIRED_NULL,O3,AB,A,B,SYN065,0.014870818978233823,0.02,0.10296530810366758,0.02820369676541895,0.11750246947092566,62.97793217457273,134,-71.02206782542727,-0.5300154315330393,0.30597014925373134,0.9761904761904762,0.3037037037037037,0.038292718723545435,56.35,64.0,70.0,0,2913,42
M0,PAIRED_NULL,O3,AB,A,B,SYN066,,,,0.0377617576381737,0.5216989235762004,32.0,142,-110.0,-0.7746478873239436,0.22535211267605634,1.0,0.22535211267605634,1.4815510057996908e-05,32.0,32.0,32.0,0,2913,32
M1,PAIRED_NULL,O3,AB,A,B,SYN066,0.017443854636097732,0.02,0.11276233539176111,0.03714514138553533,0.18885818971615181,49.744755851887106,142,-92.2552441481129,-0.649684817944457,0.22535211267605634,1.0,0.22535211267605634,0.03489324767554648,44.0,50.0,56.0,0,2913,32
M2,PAIRED_NULL,O3,AB,A,B,SYN066,0.017443854636097732,0.02,0.11276233539176111,0.028212193301860648,0.12330786220361485,76.22145645918226,142,-65.77854354081774,-0.46322917986491363,0.38028169014084506,0.9310344827586207,0.3698630136986301,0.03905733967649907,70.35,77.0,84.0,0,2913,58
M0,PAIRED_NULL,O3,AB,A,B,SYN067,,,,0.021283899759697907,0.2940489205613493,47.0,109,-62.0,-0.5688073394495413,0.43119266055045874,1.0,0.43119266055045874,1.4815510057998805e-05,47.0,47.0,47.0,0,2913,47
M1,PAIRED_NULL,O3,AB,A,B,SYN067,0.030566294192910147,0.02,0.07560221244937683,0.021118833785825603,0.11398292474194266,88.09670155745118,109,-20.903298442548817,-0.19177338020686988,0.43119266055045874,1.0,0.43119266055045874,0.07127758146392073,79.0,88.0,99.0,0,2913,47
M2,PAIRED_NULL,O3,AB,A,B,SYN067,0.030566294192910147,0.02,0.07560221244937683,0.00445045236343136,0.026792708862053323,137.9897084978438,109,28.989708497843793,0.26596062842058527,0.8715596330275229,0.979381443298969,0.8558558558558559,0.08089415896228831,128.35,138.0,151.0,0,2913,97
M0,PAIRED_NULL,O3,AB,A,B,SYN068,,,,0.007552351527634741,0.10434058471564009,46.0,68,-22.0,-0.3235294117647059,0.6764705882352942,1.0,0.6764705882352942,1.481551005799868e-05,46.0,46.0,46.0,0,2913,46
