model,world,observation_regime,orientation,bin_index,bin_lower,bin_upper,n_cell_predictions,mean_predicted_probability,observed_occupancy_fraction,absolute_calibration_gap
M2,STRONG,O1,AB,9,0.8,0.9,373,0.8534610354715456,0.9517426273458445,0.09828159187429886
M2,STRONG,O1,AB,10,0.9,1.0,5059,0.9936774512078228,0.9994069974303222,0.005729546222499438
M2,STRONG,O1,BA,1,0.0,0.1,197485,0.008164688948452478,0.005205458642428539,0.002959230306023939
M2,STRONG,O1,BA,2,0.1,0.2,486,0.14409880882118106,0.5411522633744856,0.39705345455330454
M2,STRONG,O1,BA,3,0.2,0.3,360,0.2523305618957047,0.6166666666666667,0.364336104770962
M2,STRONG,O1,BA,4,0.3,0.4,289,0.34622555627048723,0.6920415224913494,0.3458159662208622
M2,STRONG,O1,BA,5,0.4,0.5,210,0.4491082091802773,0.7952380952380952,0.3461298860578179
M2,STRONG,O1,BA,6,0.5,0.6,199,0.5513527681013521,0.7889447236180904,0.23759195551673828
M2,STRONG,O1,BA,7,0.6,0.7,229,0.6519354779096396,0.8471615720524017,0.19522609414276215
M2,STRONG,O1,BA,8,0.7,0.8,237,0.7513440682677573,0.869198312236287,0.11785424396852962
M2,STRONG,O1,BA,9,0.8,0.9,395,0.8534365217656738,0.9443037974683545,0.09086727570268072
M2,STRONG,O1,BA,10,0.9,1.0,5670,0.9947461144962322,0.9989417989417989,0.0041956844455667275
M2,STRONG,O2,AB,1,0.0,0.1,201950,0.011743629415998713,0.007888091111661302,0.0038555383043374115
M2,STRONG,O2,AB,2,0.1,0.2,492,0.14446115665103315,0.6097560975609756,0.46529494090994244
M2,STRONG,O2,AB,3,0.2,0.3,421,0.24925934013839524,0.6270783847980997,0.3778190446597045
M2,STRONG,O2,AB,4,0.3,0.4,437,0.3510476904205588,0.5812356979405034,0.23018800751994467
M2,STRONG,O2,AB,5,0.4,0.5,374,0.4484006596035266,0.7566844919786097,0.30828383237508306
M2,STRONG,O2,AB,6,0.5,0.6,295,0.5511668329801672,0.8305084745762712,0.279341641596104
M2,STRONG,O2,AB,7,0.6,0.7,250,0.6472642077111654,0.912,0.2647357922888346
M2,STRONG,O2,AB,8,0.7,0.8,269,0.7521346540990307,0.8773234200743495,0.1251887659753188
M2,STRONG,O2,AB,9,0.8,0.9,388,0.8563955591450647,0.8711340206185567,0.014738461473492004
M2,STRONG,O2,AB,10,0.9,1.0,4860,0.9912693901488153,0.9973251028806585,0.0060557127318431325
M2,STRONG,O2,BA,1,0.0,0.1,197061,0.011890949875687791,0.00518621137617286,0.006704738499514931
