FIA_SPCD,accepted_scientific_name,direction,fold,stress_tier,conservative_envelope_tv,AB_fold_discrepancy_tv,stress_to_fold_discrepancy_ratio,stress_minus_fold_discrepancy,comparison_class
115,Pinus glabra,AB,B,E_EMPIRICAL_MAX,1.0,0.454721580092406,2.1991478825279978,0.545278419907594,STRESS_GT_FOLD_DISCREPANCY
115,Pinus glabra,BA,A,E_EMPIRICAL_MAX,1.0,0.454721580092406,2.1991478825279978,0.545278419907594,STRESS_GT_FOLD_DISCREPANCY
121,Pinus palustris,AB,B,E_OBSERVED,0.0,0.3580981239751093,0.0,-0.3580981239751093,STRESS_LT_FOLD_DISCREPANCY
121,Pinus palustris,BA,A,E_OBSERVED,0.0,0.3580981239751093,0.0,-0.3580981239751093,STRESS_LT_FOLD_DISCREPANCY
121,Pinus palustris,AB,B,E_P95,0.09261156421587981,0.3580981239751093,0.25862063500315086,-0.2654865597592295,STRESS_LT_FOLD_DISCREPANCY
121,Pinus palustris,BA,A,E_P95,1.0,0.3580981239751093,2.7925306865598323,0.6419018760248907,STRESS_GT_FOLD_DISCREPANCY
121,Pinus palustris,AB,B,E_EMPIRICAL_MAX,1.0,0.3580981239751093,2.7925306865598323,0.6419018760248907,STRESS_GT_FOLD_DISCREPANCY
121,Pinus palustris,BA,A,E_EMPIRICAL_MAX,1.0,0.3580981239751093,2.7925306865598323,0.6419018760248907,STRESS_GT_FOLD_DISCREPANCY
123,Pinus pungens,AB,B,E_OBSERVED,0.0,0.39905825051309374,0.0,-0.39905825051309374,STRESS_LT_FOLD_DISCREPANCY
123,Pinus pungens,BA,A,E_OBSERVED,0.0,0.39905825051309374,0.0,-0.39905825051309374,STRESS_LT_FOLD_DISCREPANCY
123,Pinus pungens,AB,B,E_P95,0.09261156421587981,0.39905825051309374,0.2320753025324083,-0.30644668629721394,STRESS_LT_FOLD_DISCREPANCY
123,Pinus pungens,BA,A,E_P95,1.0,0.39905825051309374,2.50589982468534,0.6009417494869063,STRESS_GT_FOLD_DISCREPANCY
123,Pinus pungens,AB,B,E_EMPIRICAL_MAX,1.0,0.39905825051309374,2.50589982468534,0.6009417494869063,STRESS_GT_FOLD_DISCREPANCY
123,Pinus pungens,BA,A,E_EMPIRICAL_MAX,1.0,0.39905825051309374,2.50589982468534,0.6009417494869063,STRESS_GT_FOLD_DISCREPANCY
127,Pinus sabiniana,AB,B,E_OBSERVED,0.0,0.45683390900972903,0.0,-0.45683390900972903,STRESS_LT_FOLD_DISCREPANCY
127,Pinus sabiniana,BA,A,E_OBSERVED,0.0,0.45683390900972903,0.0,-0.45683390900972903,STRESS_LT_FOLD_DISCREPANCY
127,Pinus sabiniana,AB,B,E_P95,0.09261156421587981,0.45683390900972903,0.2027248030178677,-0.36422234479384924,STRESS_LT_FOLD_DISCREPANCY
127,Pinus sabiniana,BA,A,E_P95,1.0,0.45683390900972903,2.188979364880516,0.5431660909902709,STRESS_GT_FOLD_DISCREPANCY
127,Pinus sabiniana,AB,B,E_EMPIRICAL_MAX,1.0,0.45683390900972903,2.188979364880516,0.5431660909902709,STRESS_GT_FOLD_DISCREPANCY
127,Pinus sabiniana,BA,A,E_EMPIRICAL_MAX,1.0,0.45683390900972903,2.188979364880516,0.5431660909902709,STRESS_GT_FOLD_DISCREPANCY
128,Pinus serotina,AB,B,E_OBSERVED,0.0,0.415350340036553,0.0,-0.415350340036553,STRESS_LT_FOLD_DISCREPANCY
128,Pinus serotina,BA,A,E_OBSERVED,0.0,0.415350340036553,0.0,-0.415350340036553,STRESS_LT_FOLD_DISCREPANCY
128,Pinus serotina,AB,B,E_P95,0.09261156421587981,0.415350340036553,0.22297216419211188,-0.32273877582067323,STRESS_LT_FOLD_DISCREPANCY
128,Pinus serotina,BA,A,E_P95,1.0,0.415350340036553,2.407606070364586,0.584649659963447,STRESS_GT_FOLD_DISCREPANCY
128,Pinus serotina,AB,B,E_EMPIRICAL_MAX,1.0,0.415350340036553,2.407606070364586,0.584649659963447,STRESS_GT_FOLD_DISCREPANCY
