FIA_SPCD,accepted_scientific_name,stress_tier,AB_fold_B_envelope_tv,BA_fold_A_envelope_tv,max_direction_envelope_tv,abs_AB_minus_BA_envelope_tv,AB_fold_discrepancy_tv,max_stress_to_fold_discrepancy_ratio,comparison_class
591,Ilex opaca,E_OBSERVED,0.0,0.0,0.0,0.0,0.34495113084556217,0.0,POSITIVE_FOLD_DISCREPANCY
591,Ilex opaca,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.34495113084556217,2.8989613617115793,POSITIVE_FOLD_DISCREPANCY
591,Ilex opaca,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.34495113084556217,2.8989613617115793,POSITIVE_FOLD_DISCREPANCY
603,Juglans hindsii,E_OBSERVED,0.0,0.0,0.0,0.0,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
603,Juglans hindsii,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
603,Juglans hindsii,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
604,Juglans californica,E_OBSERVED,0.0,0.0,0.0,0.0,1.0,0.0,POSITIVE_FOLD_DISCREPANCY
604,Juglans californica,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
604,Juglans californica,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
631,Notholithocarpus densiflorus,E_OBSERVED,0.0,0.0,0.0,0.0,0.20946523508346293,0.0,POSITIVE_FOLD_DISCREPANCY
631,Notholithocarpus densiflorus,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.20946523508346293,4.774061908657743,POSITIVE_FOLD_DISCREPANCY
631,Notholithocarpus densiflorus,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.20946523508346293,4.774061908657743,POSITIVE_FOLD_DISCREPANCY
641,Maclura pomifera,E_OBSERVED,0.0,0.0,0.0,0.0,0.5741595925554724,0.0,POSITIVE_FOLD_DISCREPANCY
641,Maclura pomifera,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.5741595925554724,1.7416760304381487,POSITIVE_FOLD_DISCREPANCY
641,Maclura pomifera,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.5741595925554724,1.7416760304381487,POSITIVE_FOLD_DISCREPANCY
652,Magnolia grandiflora,E_OBSERVED,0.0,0.0,0.0,0.0,0.4698732021014619,0.0,POSITIVE_FOLD_DISCREPANCY
652,Magnolia grandiflora,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.4698732021014619,2.1282337352451637,POSITIVE_FOLD_DISCREPANCY
652,Magnolia grandiflora,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.4698732021014619,2.1282337352451637,POSITIVE_FOLD_DISCREPANCY
654,Magnolia macrophylla,E_OBSERVED,0.0,0.0,0.0,0.0,0.5637727426576268,0.0,POSITIVE_FOLD_DISCREPANCY
654,Magnolia macrophylla,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.5637727426576268,1.7737643634312583,POSITIVE_FOLD_DISCREPANCY
654,Magnolia macrophylla,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.5637727426576268,1.7737643634312583,POSITIVE_FOLD_DISCREPANCY
655,Magnolia fraseri,E_OBSERVED,0.0,0.0,0.0,0.0,0.39226438784805734,0.0,POSITIVE_FOLD_DISCREPANCY
